Turbidity,Azimuth,Elevation,Normalization,Mean X,Mean Y,Sigma X,Sigma Y,Weight,Volume,MAE,RMSE
5,90,14,8.5,4.956257447,0.081807237,1.013944342,0.143249667,0.052832193,1,0.002379037,0.003624238
6,90,14,11.5,1.549811508,4.22E-32,0.462765875,0.362653793,0.239614348,1,0.002179559,0.00357706
6,90,14,11.5,2.783981995,0.134013126,6,0.5636765,0.472628094,1,0.002179559,0.00357706
6,90,14,11.5,1.566966936,0.112540496,0.207950786,0.191614793,0.152832387,1,0.002179559,0.00357706
6,90,14,11.5,5.439643219,0.101376482,6,0.1406422,0.101572559,1,0.002179559,0.00357706
6,90,14,11.5,1.56516344,0.04455431,0.423905397,0.071623333,0.033352612,1,0.002179559,0.00357706
7,90,14,2.5,2.584569682,0.233839459,6,0.534733103,0.429538047,1,0.001939185,0.003025155
7,90,14,2.5,1.566412331,0.128197502,0.208623525,0.188251966,0.164762115,1,0.001939185,0.003025155
7,90,14,2.5,1.564940062,0.050198996,0.425495501,0.079909085,0.03739539,1,0.001939185,0.003025155
7,90,14,2.5,1.553425572,0.041825084,0.464597453,0.355048568,0.264084935,1,0.001939185,0.003025155
7,90,14,2.5,4.938532793,0.114408993,6,0.151344039,0.104219513,1,0.001939185,0.003025155
8,90,14,9.5,4.509853465,0.127298645,6,0.179311852,0.117467626,1,0.001785911,0.002628245
8,90,14,9.5,1.562967997,0.059001636,0.43952476,0.101602359,0.044709533,1,0.001785911,0.002628245
8,90,14,9.5,2.239665646,0.352022329,6,0.500088454,0.376635247,1,0.001785911,0.002628245
8,90,14,9.5,1.565961287,0.152888855,0.210566079,0.185364424,0.177488339,1,0.001785911,0.002628245
8,90,14,9.5,1.556010872,0.119999636,0.479775216,0.340690408,0.283699254,1,0.001785911,0.002628245
9,90,14,13.5,1.5721085,0.151090638,0.305889218,0.247427501,0.243230205,1,0.001617795,0.002329591
9,90,14,13.5,1.560584497,0.180394867,0.16946628,0.143542365,0.062564251,1,0.001617795,0.002329591
9,90,14,13.5,3.141996342,0.462194215,6,0.446041898,0.328021583,1,0.001617795,0.002329591
9,90,14,13.5,5.703044457,0.15939437,6,0.18749505,0.113383732,1,0.001617795,0.002329591
9,90,14,13.5,1.526480384,0.041532505,0.629907447,0.422994832,0.252800229,1,0.001617795,0.002329591
10,90,17,17.5,1.511052014,0.18989098,0.721848758,0.412727744,0.275274193,1,0.00132438,0.001829371
10,90,17,17.5,3.320304724,0.686030706,6,0.386480631,0.210130561,1,0.00132438,0.001829371
10,90,17,17.5,1.56074447,0.249658255,0.180560133,0.160494901,0.073768626,1,0.00132438,0.001829371
