Turbidity,Azimuth,Elevation,Normalization,Mean X,Mean Y,Sigma X,Sigma Y,Weight,Volume,MAE,RMSE
4,90,32,4.25,1.562960287,0.522290983,0.199109783,0.173521748,0.029073275,1,0.005070655,0.006578709
4,90,32,4.25,1.569940501,0.36147589,0.593724022,0.397108134,0.261017129,1,0.005070655,0.006578709
4,90,32,4.25,1.351901778,0.03831652,6,0.443663889,0.406458604,1,0.005070655,0.006578709
4,90,32,4.25,6.283185307,0.585907518,0.741278766,0.59697242,0.039605054,1,0.005070655,0.006578709
4,90,32,4.25,1.397626068,0.883901906,3.283683561,0.342941947,0.263845937,1,0.005070655,0.006578709
5,90,32,10.5,1.561846669,0.530359174,0.205916252,0.174574267,0.02916699,1,0.005488059,0.007125018
5,90,32,10.5,6.283185307,0.49590255,0.663300182,0.64363752,0.037108222,1,0.005488059,0.007125018
5,90,32,10.5,1.236939755,0.052033241,5.461458207,0.528551523,0.452257474,1,0.005488059,0.007125018
5,90,32,10.5,1.339948512,0.924177378,3.534498813,0.327173694,0.22120935,1,0.005488059,0.007125018
5,90,32,10.5,1.573182734,0.38262348,0.611940677,0.404768377,0.260257964,1,0.005488059,0.007125018
6,90,32,18.25,1.413560782,0.065619254,3.997286844,0.535859287,0.445364614,1,0.005928524,0.007634432
6,90,32,18.25,1.561846604,0.536696559,0.205512964,0.171687388,0.02625476,1,0.005928524,0.007634432
6,90,32,18.25,1.33790344,0.926777045,3.621239104,0.325335271,0.232147574,1,0.005928524,0.007634432
6,90,32,18.25,6.283185307,0.347421688,0.706677696,0.680279939,0.049959168,1,0.005928524,0.007634432
6,90,32,18.25,1.572913425,0.393978762,0.608413509,0.406124669,0.246273885,1,0.005928524,0.007634432
2,90,35,5.75,1.573598396,0.04918478,0.53711687,0.4510788,0.2182186,1,0.005156783,0.006829808
2,90,35,5.75,1.276245749,0.305941445,1.728678741,0.516803886,0.345651145,1,0.005156783,0.006829808
2,90,35,5.75,1.564847662,0.545495765,0.191747941,0.176141298,0.022094779,1,0.005156783,0.006829808
2,90,35,5.75,1.227376405,1.30E-29,6,0.181443644,0.212399403,1,0.005156783,0.006829808
2,90,35,5.75,6.283185307,6.99E-27,1.996309105,0.620339494,0.201636073,1,0.005156783,0.006829808
3,90,35,7.75,1.563598234,0.570382258,0.193491691,0.16886561,0.024873592,1,0.005224522,0.006834452
3,90,35,7.75,1.52874693,0.773678461,2.406960601,0.372873394,0.320771944,1,0.005224522,0.006834452
3,90,35,7.75,1.567889026,0.326802984,0.566756899,0.390426141,0.242018393,1,0.005224522,0.006834452
3,90,35,7.75,6.283185307,0.597692641,1.049823648,0.531196045,0.072743676,1,0.005224522,0.006834452
3,90,35,7.75,1.364169499,0.009647097,6,0.339001529,0.339592395,1,0.005224522,0.006834452
4,90,35,4.75,1.570459839,0.395335818,0.605861522,0.395716673,0.261411517,1,0.005445738,0.007012983
4,90,35,4.75,6.283185307,0.582794794,0.705011102,0.612371488,0.037088137,1,0.005445738,0.007012983
4,90,35,4.75,1.346679077,0.051111852,6,0.464809398,0.435283619,1,0.005445738,0.007012983
4,90,35,4.75,1.562816753,0.575093648,0.204406955,0.171382456,0.027627154,1,0.005445738,0.007012983
4,90,35,4.75,1.371700229,0.915791703,3.333843916,0.329086249,0.238589572,1,0.005445738,0.007012983
5,90,35,11.75,1.33757531,0.939925616,3.516376103,0.317924778,0.212597701,1,0.005819284,0.007523685
5,90,35,11.75,1.561732635,0.581674633,0.212420239,0.171944023,0.028104991,1,0.005819284,0.007523685
5,90,35,11.75,6.283185307,0.517748214,0.653833516,0.637187866,0.036763129,1,0.005819284,0.007523685
5,90,35,11.75,1.242810547,0.065893726,5.511020135,0.532648752,0.463316948,1,0.005819284,0.007523685
5,90,35,11.75,1.573527518,0.41470766,0.623111375,0.40251345,0.25921723,1,0.005819284,0.007523685
6,90,35,17.5,1.33672775,0.939795052,3.624814598,0.317954444,0.227320385,1,0.006246036,0.00803171
6,90,35,17.5,6.283185307,0.385897419,0.693961237,0.669818966,0.048297585,1,0.006246036,0.00803171
6,90,35,17.5,1.561715542,0.587123729,0.213732822,0.169433303,0.02584126,1,0.006246036,0.00803171
6,90,35,17.5,1.405573023,0.078807495,4.143229488,0.535800404,0.452664164,1,0.006246036,0.00803171
6,90,35,17.5,1.573362871,0.425268123,0.621742577,0.40459099,0.245876606,1,0.006246036,0.00803171
2,90,38,13.75,1.231012058,1.31E-30,6,0.182184522,0.214469663,1,0.005515319,0.007106067
2,90,38,13.75,1.565305446,0.598949933,0.202674064,0.178762667,0.021481626,1,0.005515319,0.007106067
2,90,38,13.75,6.283185307,3.06E-26,1.971261501,0.629019178,0.202406679,1,0.005515319,0.007106067
2,90,38,13.75,1.296803401,0.313874818,1.706863196,0.517479945,0.354876416,1,0.005515319,0.007106067
2,90,38,13.75,1.574777818,0.071359789,0.548163825,0.462431605,0.206765617,1,0.005515319,0.007106067
3,90,38,13.25,1.567918953,0.367118968,0.586448564,0.394872868,0.248665441,1,0.005715803,0.007370942
3,90,38,13.25,1.486174073,0.829059009,2.798719592,0.352755329,0.294169694,1,0.005715803,0.007370942
3,90,38,13.25,6.283185307,0.597524325,0.880157493,0.559711353,0.052914789,1,0.005715803,0.007370942
3,90,38,13.25,1.464031016,0.018546708,6,0.362098795,0.380926142,1,0.005715803,0.007370942
